Paper,Link,ExtractDatetime
metro,https://metro.co.uk/2020/03/16/keri-hilson-blaming-5g-coronavirus-pandemic-12407583/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/17/coronavirus-live-updates-schools-travel-pay-self-isolation-12406630/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/18/people-ignore-coronavirus-warnings-party-pubs-st-patricks-day-12415338/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/19/coronavirus-treatment-set-clinical-trials-uk-12423508/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/19/coronavirus-uk-key-workers-classed-one-12423958/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/19/first-british-patient-put-randomised-trial-coronavirus-treatment-12426512/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/19/gargling-salt-water-vinegar-not-kill-coronavirus-throat-12421597/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/19/number-uk-coronavirus-cases-jumps-643-24-hours-3269-12424214/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/19/post-carry-coronavirus-need-follow-rule-mail-12422678/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/20/africa-hit-extremely-rapid-evolution-coronavirus-pandemic-12429031/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/20/find-jobs-coronavirus-crisis-12430403/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/20/patients-health-conditions-recover-coronavirus-say-experts-12428447/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/21/5000-people-tested-positive-coronavirus-uk-12436607/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/21/coronavirus-uk-dont-sex-unless-live-together-says-expert-12435557/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/22/coronavirus-uk-risk-groups-stay-home-12-weeks-12439478/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/22/fit-healthy-nurse-36-critically-coronavirus-birmingham-2-12440312/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/22/uk-coronavirus-death-toll-reaches-281-dozens-die-24-hours-12438307/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/23/mps-approve-emergency-bill-fight-coronavirus-outbreak-12445970/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/23/spains-coronavirus-death-toll-tops-2000-462-die-12441908/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/23/wars-must-stop-fight-coronavirus-pandemic-speeds-across-globe-12444982/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/24/coronavirus-may-already-infected-half-uk-population-12451012/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/24/coronavirus-uk-lockdown-shops-can-stay-open-12446352/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/24/doctor-warns-innocent-people-will-die-coronavirus-challenge__trashed-12450472/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/24/mummy-going-die-mother-warns-symptoms-perfectly-healthy-boy-5-hospitalised-coronavirus-begs-people-stay-home-12451196/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/24/travelling-work-coronavirus-uk-lockdown-12447044/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/25/piers-morgan-slams-disgusting-sports-direct-increasing-prices-amid-coronavirus-crisis-12452395/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/25/teenager-19-kills-fears-will-stuck-inside-coronavirus-12453434/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/25/tom-holland-buys-chickens-panic-buyers-strip-stores-eggs-coronavirus-pandemic-12453118/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/25/woman-21-no-pre-existing-conditions-dies-coronavirus-12454333/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/26/alcohol-wont-help-combat-stress-coronavirus-pandemic-12461106/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/26/another-115-die-coronavirus-taking-uk-death-toll-578-12460457/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/26/coronavirus-can-last-phone-nine-days-12459284/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/26/coronavirus-cope-emotions-rollercoaster-right-now-12461371/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/26/netflixs-secret-terrius-predict-coronavirus-2018-12458801/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/26/nurse-says-long-nails-fastest-spreaders-coronavirus-advises-cut-short-12458271/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/26/us-coronavirus-cases-world-least-81300-12463291/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/26/us-overtakes-italy-world-coronavirus-hotspot-xxxxx-diagnoses-12461331/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/27/boris-johnson-tests-positive-coronavirus-12465507/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/27/coronavirus-can-avoid-horrifies-viewers-details-easily-virus-spread-around-office-self-isolation-12468789/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/27/health-secretary-matt-hancock-tests-positive-coronavirus-12466332/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/27/schoolgirl-16-becomes-youngest-die-coronavirus-europe-12466236/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/27/uk-hospitals-dealing-6000-coronavirus-patients-12468106/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/28/coronavirus-world-can-cats-dogs-pet-spread-coronavirus-12470306/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/28/italys-coronavirus-death-toll-passes-10000-12471822/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/28/policeman-wears-coronavirus-helmet-warn-people-stay-home-12471259/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/29/17-members-family-infected-funeral-women-died-coronavirus-12474338/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/29/another-209-dead-uk-coronavirus-death-toll-jumps-1228-12473994/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/29/coronavirus-world-alcohol-ban-uk-rumours-12475027/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/29/nhs-doctor-55-dies-testing-positive-coronavirus-12474615/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/29/parents-love-playmobil-video-explains-coronavirus-kids-12473079/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/29/parts-uk-put-emergency-footing-coronavirus-crisis-12474747/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/30/another-180-dead-uk-coronavirus-death-toll-jumps-1408-12478534/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/30/apply-farm-work-coronavirus-lockdown-means-90000-positions-need-filling-12478811/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/30/coronavirus-get-worse-next-weeks-uks-top-scientist-warns-12480185/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/30/coronavirus-slowing-uk-thanks-social-distancing-measures-12476442/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/30/italy-coronavirus-death-toll-rises-812-12480050/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/30/like-coronavirus-live-alone-12463439/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/30/medical-team-arrive-china-help-uk-response-coronavirus-12479911/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/30/mum-bowel-cancer-life-saving-surgery-cancelled-due-coronavirus-12480921/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/30/prince-charles-recovers-coronavirus-self-isolation-12478095/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/30/uks-first-coronavirus-murder-husband-arrested-death-wife-12477459/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/arsenal-legend-ian-wright-reveals-told-jack-grealish-broke-coronavirus-lockdown-rule-12483466/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/autistic-children-coronavirus-nightmare-come-true-12468208/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/31/coronavirus-deepen-racial-divides-uk-12454718/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/coronavirus-may-still-contagious-eight-days-symptoms-disappear-12482118/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/france-coronavirus-death-toll-overtakes-china-biggest-daily-jump-12487210/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/gypsies-travellers-coping-stay-home-coronavirus-advice-12484929/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/ireland-sees-biggest-daily-increase-coronavirus-deaths-12488520/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/japan-next-coronavirus-hotspot-commuters-pack-onto-trains-12482912/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/number-people-hospital-coronavirus-passes-10000-12485627/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/star-wars-actor-dialect-coach-andrew-jack-dies-aged-76-coronavirus-12484591/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/testing-kits-heading-uk-contaminated-coronavirus-12481933/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/31/two-choir-members-die-coronavirus-group-met-sing-despite-pandemic-12484955/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/uk-coronavirus-death-toll-new-figures-ons-12481875/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/uk-coronavirus-death-toll-rockets-nearly-400-single-day-12483553/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/31/went-online-sex-party-coronavirus-pandemic-12477984/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/another-14-dead-ireland-almost-3500-contract-coronavirus-12495374/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/coronavirus-lockdown-guess-15-tv-shows-new-emoji-quiz-binge-watch-ideas-12493496/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/coronavirus-uk-long-will-lockdown-last-will-easter-12491203/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/coronavirus-uk-many-people-recovered-covid-19-uk-12491771/,2020-04-06 14:22:27.749206
